snapshot_date,symbol,name,exchange,listing_date,source_url,membership_method,verification_status
2025-04-30,508069,华夏南京交通高速公路REIT,SSE,2024-11-01,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-01/508069_20241101_WHNB.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508077,华夏基金华润有巢REIT,SSE,2022-12-09,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-12-09/508077_20221209_VY81.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508078,中航易商仓储物流REIT,SSE,2025-01-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-24/508078_20250124_1YT3.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508084,汇添富九州通医药REIT,SSE,2025-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-02-27/508084_20250227_7LRQ.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508086,工银河北高速REIT,SSE,2024-06-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-06-28/508086_20240628_AVZI.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508087,国泰海通济南能源供热REIT,SSE,2025-02-17,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-02-17/508087_20250217_IG9K.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508088,国泰海通东久新经济REIT,SSE,2022-10-14,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-10-14/508088_20221014_1_3WWKuruN.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508089,华夏特变电工新能源REIT,SSE,2024-07-02,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-02/508089_20240702_WLD9.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508092,华夏金隅智造工场REIT,SSE,2025-02-26,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-02-26/508092_20250226_M3BZ.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508096,中航京能国际能源REIT,SSE,2023-03-29,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-29/508096_20230329_4X1X.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,508097,华泰南京建邺REIT,SSE,2024-12-03,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-03/508097_20241203_F0VL.pdf,official_listing_date_reconstruction,official_metadata_verified
